"","Subset","BestModelAIC","AIC","BestModelAICc","AICc","BestModelBIC","BIC"
"1",1,"Cubic Poly","-9.68992633798435","Cubic Poly","-5.68992633798435","Cubic Poly","-4.46731414936724"
"2",2,"Cubic Poly","14.0182866590408","Cubic Poly","21.5182866590408","Cubic Poly","17.2135733071171"
"3",3,"Grompertz","-8.95429853276703","Grompertz","-2.28763186610036","Grompertz","-5.41404752725598"
"4",4,"Grompertz","-66.0302299166495","Grompertz","-63.3029571893768","Grompertz","-59.3692073657735"
"5",5,"Cubic Poly","-8.55753704361516","Cubic Poly","-4.55753704361516","Cubic Poly","-3.33492485499805"
"6",6,"Cubic Poly","11.4414189094265","Cubic Poly","20.0128474808551","Cubic Poly","14.2661656967342"
"7",7,"Cubic Poly","31.7225468764987","Cubic Poly","37.7225468764987","Cubic Poly","35.5854904876976"
"8",8,"Grompertz","-65.2957765203193","Grompertz","-62.5685037930466","Grompertz","-58.6347539694433"
"9",9,"Cubic Poly","53.6620360508196","Cubic Poly","56.8199307876617","Cubic Poly","59.7564151751606"
"10",10,"Cubic Poly","22.7719727384897","Cubic Poly","30.2719727384897","Cubic Poly","25.967259386566"
"11",11,"Cubic Poly","30.9964084782571","Cubic Poly","36.9964084782571","Cubic Poly","34.859352089456"
"12",12,"Cubic Poly","5.39713757546765","Cubic Poly","25.3971375754677","Cubic Poly","6.38326046214875"
"13",13,"Cubic Poly","1.42943796472612","Cubic Poly","16.4294379647261","Cubic Poly","2.94236342969635"
"14",14,"Cubic Poly","-1.66736224264647","Cubic Poly","13.3326377573535","Cubic Poly","-0.154436777676235"
"15",15,"Cubic Poly","9.12721627029008","NA","NA","Cubic Poly","8.08601361643035"
"16",16,"Grompertz","1.5034707700854","Grompertz","61.5034707700854","Grompertz","1.23302151536197"
"17",17,"Grompertz","3.61072686682329","Grompertz","63.6107268668233","Grompertz","3.34027761209986"
"18",18,"Grompertz","13.7796831779269","Grompertz","25.7796831779269","Grompertz","15.7691595419188"
"19",19,"Grompertz","13.7074320921425","Grompertz","21.2074320921425","Grompertz","16.9027187402188"
"20",20,"Grompertz","-5.78364859680352","Grompertz","2.78777997462505","Grompertz","-2.95890180949584"
"21",21,"Cubic Poly","20.5515061580214","Cubic Poly","32.5515061580214","Cubic Poly","22.5409825220132"
"22",22,"Grompertz","5.60963972248635","Grompertz","20.6096397224863","Grompertz","7.12256518745658"
"23",23,"Grompertz","2.69673971612882","Grompertz","12.6967397161288","Grompertz","5.12127296506882"
"24",24,"Cubic Poly","10.4569296871893","Cubic Poly","30.4569296871893","Cubic Poly","11.4430525738704"
"25",25,"Cubic Poly","11.2343658238387","Cubic Poly","31.2343658238387","Cubic Poly","12.2204887105198"
"26",26,"Grompertz","2.93812399818431","Grompertz","32.9381239981843","Grompertz","3.33533170658349"
"27",27,"Cubic Poly","-9.64755032368393","Cubic Poly","5.35244967631607","Cubic Poly","-8.1346248587137"
"28",28,"Cubic Poly","2.43165976200483","Cubic Poly","32.4316597620048","Cubic Poly","2.82886747040401"
"29",29,"Grompertz","3.62744094266749","Grompertz","33.6274409426675","Grompertz","4.02464865106667"
"30",30,"Grompertz","2.07739912144098","Grompertz","22.077399121441","Grompertz","3.06352200812208"
"31",31,"Grompertz","-11.9082904890062","Grompertz","3.09170951099382","Grompertz","-10.3953650240359"
"32",32,"Grompertz","-12.0499493235466","Grompertz","2.95005067645342","Grompertz","-10.5370238585763"
"33",33,"Cubic Poly","6.02915434053733","Cubic Poly","66.0291543405373","Cubic Poly","5.7587050858139"
"34",34,"Cubic Poly","4.46746789109195","Cubic Poly","Inf","Cubic Poly","3.42626523723223"
"35",35,"Cubic Poly","1.7585918651596","Cubic Poly","Inf","Cubic Poly","0.717389211299873"
"36",36,"Grompertz","13.8378435917653","Grompertz","22.4092721631939","Grompertz","16.662590379073"
"37",37,"Cubic Poly","15.5383799487856","Cubic Poly","24.1098085202142","Cubic Poly","18.3631267360933"
"38",38,"Grompertz","1.56647658376959","Grompertz","9.06647658376959","Grompertz","4.76176323184588"
"39",39,"Grompertz","2.66653079860285","Grompertz","12.6665307986028","Grompertz","5.09106404754285"
"40",40,"Cubic Poly","21.5432383944632","Cubic Poly","31.5432383944632","Cubic Poly","23.9677716434032"
"41",41,"Grompertz","7.48030998041249","Grompertz","17.4803099804125","Grompertz","9.90484322935249"
"42",42,"Cubic Poly","4.23864898584775","Cubic Poly","24.2386489858478","Cubic Poly","5.22477187252885"
"43",43,"Cubic Poly","6.41739859797458","Cubic Poly","21.4173985979746","Cubic Poly","7.93032406294482"
"44",44,"Cubic Poly","5.80451474931276","Cubic Poly","25.8045147493128","Cubic Poly","6.79063763599386"
"45",45,"Cubic Poly","1.88583327327194","Cubic Poly","21.8858332732719","Cubic Poly","2.87195615995304"
"46",46,"Cubic Poly","4.39134554721766","Cubic Poly","34.3913455472177","Cubic Poly","4.78855325561684"
"47",47,"Cubic Poly","5.00976218115187","NA","NA","Cubic Poly","3.96855952729214"
"48",48,"Cubic Poly","5.69555716268511","Cubic Poly","11.1501026172306","Cubic Poly","9.86162388296619"
"49",49,"Cubic Poly","8.1954518791665","Cubic Poly","20.1954518791665","Cubic Poly","10.1849282431583"
"50",50,"Cubic Poly","12.6454397412869","Cubic Poly","42.6454397412869","Cubic Poly","13.042647449686"
"51",51,"Cubic Poly","-6.35826126791051","Cubic Poly","-66.3582612679105","Cubic Poly","-8.31107170574001"
"52",52,"Cubic Poly","-6.4744535524335","Cubic Poly","23.5255464475665","Cubic Poly","-6.07724584403432"
"53",53,"Cubic Poly","16.5658131433418","Cubic Poly","24.0658131433418","Cubic Poly","19.7610997914181"
"54",54,"Grompertz","-15.3404911781804","Grompertz","-0.340491178180422","Grompertz","-13.8275657132102"
"55",55,"Cubic Poly","5.46241206152574","Cubic Poly","35.4624120615257","Cubic Poly","5.85961976992492"
"56",56,"Grompertz","2.67702990043045","Grompertz","22.6770299004304","Grompertz","3.66315278711155"
"57",57,"Cubic Poly","33.9296524684069","Cubic Poly","53.9296524684069","Cubic Poly","34.9157753550879"
